problema,obj,wape_1o,cobertura95_1o,corr_1o,n_validas,wape_ult,cobertura95_ult,corr_ult,dWAPE
MMF1,0,0.45851,1.0,0.392529,2000,0.109246,0.537,0.961827,-0.34926399999999996
DTLZ1,0,0.431136,0.88,0.7544,2000,0.396142,0.901,0.787652,-0.034994000000000025
ZDT6,1,0.00367,0.7195,0.993357,2000,0.037109,1.0,0.04592,0.033439
ZDT6,0,0.100548,0.9365,,2000,0.000173,1.0,0.999999,-0.10037499999999999
ZDT4,1,0.153658,0.946,,2000,0.154397,0.9915,0.050606,0.0007390000000000174
ZDT4,0,0.000187,0.7255,1.0,2000,0.000499,1.0,0.999996,0.000312
BBOB_F17,0,0.013351,0.861,0.999822,2000,0.008634,0.7975,0.999923,-0.004717000000000001
BBOB_F17,1,0.407171,0.797,0.877827,2000,0.359352,0.7825,0.880336,-0.047819
BBOB_F22,0,0.104712,0.8465,0.974233,2000,0.093923,0.841,0.978447,-0.010788999999999993
BBOB_F22,1,0.031047,0.907,0.980485,2000,0.030454,0.9465,0.978258,-0.0005930000000000032
ZDT3,1,0.003559,0.9945,0.999316,2000,0.010209,0.9195,0.997318,0.00665
DTLZ1,1,0.384966,0.8305,0.819187,2000,0.79776,0.9825,0.361056,0.41279400000000005
ZDT3,0,0.000283,0.99,1.0,2000,0.000381,0.878,0.999999,9.8e-05
BBOB_F37,1,0.417614,0.88,0.764269,2000,0.335304,0.8605,0.83415,-0.08231
BBOB_F49,0,0.266365,0.9115,0.841454,2000,0.260984,0.8525,0.8093,-0.005381000000000025
BBOB_F49,1,0.056055,0.982,,2000,0.052858,0.96,,-0.0031969999999999985
ZDT1,1,0.002363,0.9495,0.999667,2000,0.014776,0.8725,0.994372,0.012412999999999999
ZDT1,0,0.000252,0.996,1.0,2000,0.000214,0.998,1.0,-3.8e-05
BBOB_F55,0,0.057482,0.949,,2000,0.211349,0.9995,0.101654,0.153867
BBOB_F55,1,0.052161,0.9505,,2000,0.072356,0.994,0.122073,0.020195000000000005
MMF16_20,2,0.003829,0.9975,0.999932,2000,0.002022,0.9625,0.999983,-0.001807
MMF16_20,1,0.128752,0.799,0.968424,2000,0.117463,0.8635,0.974229,-0.011289000000000007
MMF16_20,0,0.130648,0.829,0.967421,2000,0.017347,0.994,0.999446,-0.11330099999999999
BBOB_F37,0,0.031718,0.956,0.981764,2000,0.026972,0.967,0.985938,-0.004746000000000004
DTLZ1,2,0.34526,0.7785,0.75492,2000,0.352238,0.796,0.712112,0.006977999999999984
WFG4,1,0.058188,0.774,0.902714,2000,0.051511,0.9215,0.933425,-0.0066769999999999954
DTLZ2,0,0.159345,0.853,0.955995,2000,0.0976,0.932,0.983081,-0.06174499999999998
WFG2,1,0.200387,0.953,,2000,0.038125,0.993,0.979865,-0.16226200000000002
WFG2,0,0.052493,0.869,0.983914,2000,0.052645,0.9565,0.984355,0.00015199999999999936
WFG5,0,0.037601,0.8715,0.972588,2000,0.042515,0.7555,0.968846,0.004913999999999995
WFG5,1,0.039368,0.9305,0.972562,2000,0.045781,0.9485,0.969996,0.006413000000000002
WFG1,1,0.008849,0.9165,0.814362,2000,0.100474,0.999,0.513663,0.091625
WFG1,0,0.00269,0.7875,0.96627,2000,0.021406,0.9995,0.637856,0.018716
WFG9,0,0.225356,0.8605,0.396208,2000,0.229299,0.9905,0.484663,0.003943000000000002
WFG9,1,0.230131,0.875,0.389473,2000,0.27767,0.8565,,0.04753899999999997
BBOB_F1,0,0.000121,1.0,1.0,2000,0.000149,0.79,1.0,2.799999999999999e-05
BBOB_F1,1,0.000391,1.0,0.999999,2000,0.00015,0.787,1.0,-0.00024100000000000003
DTLZ7,2,0.008744,0.936,0.993042,2000,0.001694,0.9885,0.999723,-0.00705
DTLZ7,1,0.000214,0.99,1.0,2000,0.000136,0.9685,1.0,-7.8e-05
DTLZ7,0,0.000241,0.9865,1.0,2000,0.000152,0.937,1.0,-8.9e-05
DTLZ4,2,0.274916,0.965,0.984608,2000,0.492749,0.9715,0.975581,0.217833
DTLZ4,1,2.012983,0.9805,,2000,7.844813,0.995,0.143395,5.83183
DTLZ4,0,0.09426,0.9335,0.508187,2000,0.232913,0.996,0.064991,0.13865300000000003
BBOB_F5,0,8.9e-05,1.0,1.0,2000,0.000222,1.0,1.0,0.000133
BBOB_F5,1,0.02498,0.966,0.986821,2000,0.104274,0.9775,0.782406,0.079294
DTLZ3,2,0.256139,0.7735,0.782869,2000,0.228606,0.8815,0.825184,-0.027533000000000002
DTLZ3,1,0.270679,0.839,0.857926,2000,0.263964,0.8625,0.868807,-0.0067150000000000265
DTLZ3,0,0.273031,0.7925,0.889349,2000,0.240301,0.87,0.890401,-0.03273000000000004
DTLZ2,2,0.097858,0.837,0.968994,2000,0.009801,0.9985,0.999653,-0.088057
DTLZ2,1,0.145697,0.829,0.96226,2000,0.076337,0.955,0.990206,-0.06935999999999999
MMF11_L,1,0.41502,0.925,0.575606,2000,0.093121,0.566,0.982541,-0.321899
MMF11_L,0,0.0,1.0,1.0,2000,0.0,1.0,1.0,0.0
WFG4,0,0.091903,0.884,0.935815,2000,0.092328,0.9115,0.943669,0.0004249999999999948
MMF4,0,0.418985,1.0,0.531578,2000,0.193914,0.379,0.867724,-0.225071
MMF4,1,0.377995,0.9505,0.309944,2000,0.793175,0.753,0.097302,0.41517999999999994
MMF1,1,0.722176,0.94,0.211452,2000,1.717675,0.5935,0.15474,0.995499
